caseID,SolicitorClaimantEmail_XUI,DefendantsolicitorEmailRA,partyID
1789461677164336,pcs-solicitor255@test.com,pcs-solicitor602@test.com,25d59647-1a50-48a2-93f3-ed1253aaca21
1789461675520018,pcs-solicitor516@test.com,c92de614-3dd4-4ad3-99d0-8686cb65ff22
1789461715036835,pcs-solicitor269@test.com,pcs-solicitor604@test.com,297f7f53-8948-47d5-b7eb-13bfdf1d919c
1789461755015632,pcs-solicitor518@test.com,943a3d17-41ed-44f1-8ba2-13e08ebd38df
1789461755378329,pcs-solicitor275@test.com,pcs-solicitor611@test.com,f741576c-6fc9-4e62-912d-41f1ea6df8e7
1789461834249087,pcs-solicitor520@test.com,6420383d-2aef-4aae-bcf4-9f881fbadbb7
1789462042795325,pcs-solicitor281@test.com,pcs-solicitor626@test.com,6a07f2ae-b02f-4bfc-8fbc-89bea75b753d
1789462078451140,pcs-solicitor522@test.com,31adbba3-d5a3-4f39-9b00-d58cf4d31ee1
1789462082525236,pcs-solicitor284@test.com,pcs-solicitor631@test.com,149a8171-bc3c-49cd-a603-1bb634a9832f
1789462307933579,pcs-solicitor539@test.com,8f382586-6e9e-4c30-bb7f-b9912f09dc6f
1789462361749473,pcs-solicitor150@test.com,pcs-solicitor624@test.com,61533e40-2857-40b1-849f-5a3e4a11c352
1789462438700251,pcs-solicitor159@test.com,pcs-solicitor630@test.com,bb54bfda-0003-4c1c-90ee-32f203254f78
